date;departement;tempmin;tempmax;ventmax;precip
2009-01-01;01;-2.7333333094914756;0.90000001092751825;15.90000025431315;0
2009-01-01;02;-3.2999999523162842;-0.29999998211860657;27.09999942779541;0
2009-01-01;03;-0.30000001192092896;2.5999999046325684;18.5;0
2009-01-01;04;-1.1000000238418579;6.2499997615814209;22.199999809265137;0
2009-01-01;05;-2.6666666964689889;4.7000001271565752;30.850000381469727;0
2009-01-01;06;5.5666667620340986;12.766666730244955;29.59999942779541;6.6666667660077408E-2
2009-01-01;07;4;10.800000190734863;37;0
2009-01-01;08;-0.89999997615814209;0.5;22.200000762939453;0
2009-01-01;09;0.69999998807907104;14.800000190734863;14.800000190734863;0
2009-01-01;10;-0.40000000596046448;1.2999999523162842;18.5;0
2009-01-01;11;9.3749997615814209;10.974999904632568;36.174999713897705;0.5000000074505806
2009-01-01;12;4.25;10.75;24.050000190734863;0
2009-01-01;13;6.5;11.98571423121861;22.54000015258789;0
2009-01-01;14;-2.3333334128061929;0.8333333432674408;28.400000254313152;0
2009-01-01;15;3.0999999046325684;9.8000001907348633;35.200000762939453;0
2009-01-01;16;2.5500000715255737;9.4000000953674316;22.850000381469727;0
2009-01-01;17;-1.8181821162050419E-2;3.8727272423830899;32.844444486829971;2.7272728356448086E-2
2009-01-01;18;-1;2.25;34.250000953674316;0
2009-01-01;19;2.1500000357627869;11.799999713897705;20.050000190734863;0
2009-01-01;21;-0.60000002384185791;1.5;29.600000381469727;0
2009-01-01;22;-0.88333333532015479;1.5666666453083355;32.666667302449547;0
2009-01-01;23;-1.3999999761581421;0.30000001192092896;;0
2009-01-01;24;3;10.699999809265137;22.200000762939453;0
2009-01-01;25;-2.5;2.4000000953674316;24.100000381469727;0
2009-01-01;26;1.3000000268220901;6.8499999046325684;49.350000381469727;0
2009-01-01;27;-1.6000000238418579;0.69999998807907104;25.899999618530273;0
2009-01-01;28;0.35000000894069672;1.5;28.699999809265137;0
2009-01-01;29;0.30555555141634411;3.7444444894790649;59.65625;1.5444444525572989
2009-01-01;2A;8.8625000715255737;13.962500095367432;29.650000095367432;0.12500000186264515
2009-01-01;2B;7.9727271253412422;12.9000000520186;47.357141767229351;7.2727275165644562E-2
2009-01-01;30;4.7000000799695654;9.9499999682108555;33.216667175292969;0
2009-01-01;31;8.7666668891906738;11.966666857401529;25.899999618530273;0
2009-01-01;32;5.5;14.199999809265137;24.100000381469727;0
2009-01-01;33;5.8285713876996725;13.085714340209961;23.100000063578289;2.8571428997176036E-2
2009-01-01;34;7.1749998331069946;12.75;34.675000190734863;0
2009-01-01;35;-0.70000001788139343;2.4499999284744263;34.25;0
2009-01-01;36;-1;0.69999998807907104;31.5;0
2009-01-01;37;-0.65000000596046448;2.0500000715255737;27.899999618530273;0
2009-01-01;38;0.46000002622604369;5.1000000059604647;26.266666730244953;0.20000000000000001
2009-01-01;39;-3.0333333810170493;0.86666667461395264;22.833333333333332;0
2009-01-01;40;6.9500000476837158;14.250000238418579;25.000000238418579;0.10000000149011612
2009-01-01;41;-0.14999999850988388;2.1000000238418579;32.40000057220459;0
2009-01-01;42;1.5;2.5;16.700000762939453;0
2009-01-01;43;-1.8999999761581421;4.9000000953674316;18.5;0
2009-01-01;44;2.5000002235174179E-2;3.75;48.600001335144043;0
2009-01-01;45;0.35000000894069672;1.3500000238418579;35.200000762939453;0
2009-01-01;46;5.4000000953674316;11.5;22.200000762939453;0
2009-01-01;47;4.4000000953674316;13.800000190734863;13;0
2009-01-01;48;-0.2666666905085246;5.8333334922790527;19.633333841959637;0
2009-01-01;49;-0.20000001043081284;3.1499999761581421;24.600000381469727;0
2009-01-01;50;2.2111111018392773;4.7111110952165394;52.960000610351564;0
2009-01-01;51;-1.0399999916553497;0.68000000715255737;14.333333969116211;0
2009-01-01;52;-1.1999999508261681;0.54999999701976776;16.650000095367432;0
2009-01-01;53;-1.1000000238418579;2;31.5;0
2009-01-01;54;-4.9999997019767761E-2;1.3499999642372131;18.550000190734863;0
2009-01-01;55;-4.9999997019767761E-2;1.3499999642372131;;0
2009-01-01;56;0.18333332240581512;3.3666665951410928;46.30000114440918;0.20000000298023224
2009-01-01;57;0.32500000856816769;1.6749999523162842;22.925000190734863;0
2009-01-01;58;-1.5;4.6999998092651367;22.200000762939453;0
2009-01-01;59;-1.3333333333333333;0.40000001589457196;21.666666984558105;0
2009-01-01;60;-3;0.16666666915019354;29;0
2009-01-01;61;-0.35000000521540642;1.449999988079071;29.600000381469727;0
2009-01-01;62;-2.4500001072883606;0.75;28.700000762939453;0
2009-01-01;63;0.10000000149011612;2.0999999046325684;16.700000762939453;0
2009-01-01;64;7.0500001907348633;15.275000095367432;24.074999809265137;0
2009-01-01;65;2.2999999523162842;12.699999809265137;14.800000190734863;0
2009-01-01;66;5.7000000953674315;8.7600000381469734;37.033332824707031;2
2009-01-01;67;-1.1000000238418579;2;25.899999618530273;1
2009-01-01;68;-0.69999998559554422;4.5000000794728594;24.166666666666668;0
2009-01-01;69;-1.3000000019868214;-0.23333332439263663;25.899999618530273;0
2009-01-01;70;-0.20000000298023224;1;14.800000190734863;0
2009-01-01;71;-0.86666667461395264;1.1666666467984517;25.899999618530273;0
2009-01-01;72;0.30000001192092896;2;31.5;0
2009-01-01;73;1;7.2999999523162842;25.899999618530273;0
2009-01-01;74;-4.666666666666667;3.6000000635782876;25.899999618530273;8.4666665395100917
2009-01-01;75;-0.89999997615814209;2.0999999046325684;22.200000762939453;0
2009-01-01;76;-2.699999988079071;0.69999999366700649;34.27500057220459;0.10000000149011612
2009-01-01;77;-0.30000001192092896;1.5;22.200000762939453;0
2009-01-01;78;-1.3999999761581421;1.0499999970197678;19.699999809265137;0
2009-01-01;79;-0.60000000894069672;0.94999998807907104;41;0
2009-01-01;80;-3.5;0.80000001192092896;25.899999618530273;0
2009-01-01;81;4;15;14.800000190734863;0
2009-01-01;82;5;13;8.7500002384185791;0
2009-01-01;83;6.2363635193217881;12.94545468417081;27.955555597941082;1.8181818452748386E-2
2009-01-01;84;2.7499999701976776;9.7750000953674316;40.649999856948853;0
2009-01-01;85;-0.19999998807907104;4.2999999523162842;31.5;0
2009-01-01;86;-1;0.5;31.5;0
2009-01-01;87;3;7.6999998092651367;25.899999618530273;0
2009-01-01;88;-0.10000000149011612;1.7999999523162842;18.5;0
2009-01-01;89;-0.84999999403953552;0.65000001341104507;18.5;0
2009-01-01;90;-0.69999998807907104;2.7000000476837158;25.899999618530273;0
2009-01-01;91;-1.0499999821186066;2.0000000596046448;19.15000057220459;0
2009-01-01;92;-1.1999999682108562;1.0666666626930237;;0
2009-01-01;93;-2.2000000476837158;1.1000000238418579;22.200000762939453;0
2009-01-01;94;-0.69999998807907104;1.6000000238418579;;0
2009-01-01;95;-2.2999999523162842;0.60000002384185791;53.700000762939453;0
2009-01-02;01;-0.20000000000000001;4.6599998459219929;15.079999923706055;0
2009-01-02;02;-5.2000000476837158;0.44999999552965164;31.600000381469727;0
2009-01-02;03;-1.1000000238418579;0.40000000596046448;22.200000762939453;0
2009-01-02;04;-3.699999968210856;7.5666664441426592;16.933333237965901;0
2009-01-02;05;-4.5000000794728594;4.6333332856496172;24.300000667572021;0
2009-01-02;06;2.9249999523162842;12.325000047683716;16.866666793823242;0.05000000074505806
2009-01-02;07;1.6666665871938069;10.899999777475992;27.766666412353516;0
2009-01-02;08;-7.4000000953674316;0.30000001192092896;35.200000762939453;0
2009-01-02;09;4.4000000953674316;10.600000381469727;13;0
2009-01-02;10;-0.5;1.8999999761581421;29.600000381469727;0
2009-01-02;11;5.4499999284744263;10.325000047683716;30.999999046325684;0
2009-01-02;12;1.9999999677141507;10.566666603088379;17.266667048136394;0
2009-01-02;13;4.9699999809265138;10.169999980926514;24.314286231994629;0
2009-01-02;14;-5.4000000953674316;0.66666668653488159;20.366666793823242;0
2009-01-02;15;-1.6000000238418579;8.8999996185302734;22.200000762939453;0
2009-01-02;16;0.19999996821085611;8.0666666030883789;23.799999872843426;0
2009-01-02;17;-0.45000002639634268;4.385714215891702;34.324999968210854;0
2009-01-02;18;-1.449999988079071;0.5;38.899999618530273;0
2009-01-02;19;-2.25;9.5999999046325684;14.40000057220459;0
2009-01-02;21;0.40000000596046448;1;35.200000762939453;0
2009-01-02;22;-0.71666663885116577;4.2333334287007647;46.033333778381348;0
2009-01-02;23;-3;-2.0999999046325684;;0
2009-01-02;24;-2.0999999046325684;10.5;16.700000762939453;0
2009-01-02;25;1.1999999582767487;6.4499998092651358;22.199999809265137;0
2009-01-02;26;1.9499999638646841;7.5499998331069937;27.625000476837158;0
2009-01-02;27;-4.0999999046325684;1.6000000238418579;35.200000762939453;0
2009-01-02;28;-3.6000001430511475;0.30000001192092896;30.550000190734863;0
2009-01-02;29;1.0349999889731407;5.9099999666213989;76.733332739935975;0.26000000014901159
2009-01-02;2A;6.919999980926514;12.06999979019165;24.066666920979817;10.240000104904174
2009-01-02;2B;6.2636364427479831;10.781818216497248;33.057143211364746;6.3454546494917432
2009-01-02;30;1.6166667143503826;6.8833333651224775;39.133333365122475;0
2009-01-02;31;6.7333334287007647;11.43333371480306;22.200000762939453;0
2009-01-02;32;4.4000000953674316;11.600000381469727;14.800000190734863;0
2009-01-02;33;1.4624999985098839;10.024999916553497;21.750000298023224;0
2009-01-02;34;3.8285713536398753;11.071428435189384;17.800000190734863;0
2009-01-02;35;-2.699999988079071;2.0999999642372131;43.5;0
2009-01-02;36;-1.7999999523162842;0.40000000596046448;33.299999237060547;0
2009-01-02;37;-0.90000000596046448;0.80000002682209015;33.15000057220459;0
2009-01-02;38;-0.63333334773778915;3.0555556019147239;27.060000228881837;0
2009-01-02;39;-0.86666663487752282;0.33333333333333331;31.466665903727215;0
2009-01-02;40;3.75;10.649999856948853;23.15000057220459;0
2009-01-02;41;-1.300000011920929;0.79999998956918716;45.350000381469727;0
2009-01-02;42;-1.3999999761581421;-0.40000000596046448;18.5;0
2009-01-02;43;-4.5999999046325684;-2;11.100000381469727;0
2009-01-02;44;-1.75;1.4750000238418579;53.22499942779541;0
2009-01-02;45;-1.300000011920929;0.70000001788139343;35.200000762939453;0
2009-01-02;46;0.5;9.8000001907348633;11.100000381469727;0.20000000298023224
2009-01-02;47;3.0999999046325684;12.899999618530273;11.100000381469727;0
2009-01-02;48;-3.4666666984558105;7.0000001589457197;18.233333587646484;0
2009-01-02;49;0.57499998807907104;6.7999998107552519;20.100000381469727;0
2009-01-02;50;2.3999999695354037;5.7000000211927624;52.220000457763675;4.4444445106718272E-2
2009-01-02;51;-1.7000000079472859;1.2666666507720947;33.900001525878906;0
2009-01-02;52;-2.3999999761581421;0.39999997615814209;31.5;0
2009-01-02;53;-3.0999999046325684;-0.10000000149011612;35.200000762939453;0
2009-01-02;54;-2.4500000476837158;0.95000001788139343;34.25;0
2009-01-02;55;-2.4500000476837158;0.95000001788139343;;0
2009-01-02;56;-0.96666664257645607;3.2499999602635703;59.250001271565758;6.6666667660077408E-2
2009-01-02;57;-5.6250001192092896;-2.4999998509883881E-2;28.975000381469727;0
2009-01-02;58;-2.2999999523162842;0.5;25.899999618530273;0
2009-01-02;59;-1.4999999503294628;2.0999999841054282;34.666666666666664;0
2009-01-02;60;-4.2333332697550459;1.8333333333333333;31.466665903727215;0
2009-01-02;61;-0.57500004768371582;6.2499998025596133;16.03333346048991;0
2009-01-02;62;-4.100000012665987;1.7499999552965164;32.40000057220459;0.20000000298023224
2009-01-02;63;-1.1000000238418579;0.60000002384185791;22.200000762939453;0
2009-01-02;64;5.9250000715255737;13.225000143051147;20.5;0.10000000149011612
2009-01-02;65;6.4000000953674316;12.300000190734863;18.5;0
2009-01-02;66;4.2333332697550459;8.0166664123535156;25.925000905990601;0
2009-01-02;67;-2.2999999523162842;1;29.600000381469727;0
2009-01-02;68;-2.5;-0.7999999846021334;26.03333346048991;0
2009-01-02;69;-1.1666666716337204;-0.46666665126880008;26.84999942779541;0
2009-01-02;70;-0.89999997615814209;0.40000000596046448;18.5;0
2009-01-02;71;-0.46666666865348816;0.46666666865348816;24.700000127156574;0
2009-01-02;72;-2.5999999046325684;0.69999998807907104;29.600000381469727;0
2009-01-02;73;-0.76666663090387976;6.6999998092651367;17.900000413258869;0
2009-01-02;74;-4.4249998331069946;3.8249998986721034;11.100000381469727;0
